FirstName,Phone,Notes,,,,
John,123456789,Follow-up call,,,,
Jane,987654321,Needs product demo,,,,
Tom,555666777,Inquiry about price,,,,
Alice,111222333,Request for quote,,,,
Bob,444555666,Interested in plan,,,,
Charlie,222333444,Follow-up on payment,,,,
Dave,555444333,Request for info,,,,
Eva,999888777,Looking for discounts,,,,
Frank,123123123,Needs urgent support,,,,
Grace,444777888,Interested in new features,,,,
Hannah,333222111,Referral lead,,,,
Ian,888999000,Interested in partnership,,,,
Jack,111444555,Has questions about terms,,,,
Kathy,777888999,Looking for software trial,,,,
Liam,555666444,Has a demo request,,,,
Mia,333444555,Need to reschedule call,,,,
Nate,888111222,Inquired about pricing,,,,
Olivia,123555999,Follow-up on email,,,,
Paul,444333222,Interested in bundle package,,,,
Quinn,888777333,Needs training session,,,,
Rita,999222333,Looking for custom features,,,,
Steve,555111222,Has feedback for product,,,,
Tina,333555444,Looking for implementation help,,,,
Uma,999888555,Asked about a special offer,,,,
Vera,444555333,Requesting product update,,,,
Will,111333444,Inquired about support options,,,,
